category,en,nl,ja,sv,vi,th,zh,id,it,de,fr,ru,pl,pt,es,hu,ar
accounting,Accounting,Accounting,会計,Redovisning,Kế toán,การบัญชี,會計,Akuntansi,Contabilità,Buchhaltung,Comptabilité,Бухгалтерия,Księgowość,Contabilidade,Contabilidad,Számvitel,محاسبة 
admin,Administrative Assistance,Administratie,事務,Administration,Hành chính - Quản trị,การจัดการ,辦公與行政,Administrasi,Amministrazione,Büro und Verwaltung,Administration,Административный персонал,Administracja,Administrativa,Servicios administrativos,Iroda és adminisztráció,موضف إداري 
agriculture,Agriculture & Forestry,Land- en tuinbouw,農業,Lantbruk,"Nông, lâm nghiệp",การเกษตรและป่าไม้,農業,Agrikultur & Kelautan,Agricoltura e zootecnica,Land- & Forstwirtschaft,Agriculture et foresterie,Сельское хозяйство,Rolnictwo i leśnictwo,Agricultura,Agricultura y forestales,Erdő- és mezőgazdaság,زراعة
arch,Architecture,Architectuur,建築,Arkitektur,Kiến trúc,สถาปัตยกรรม,建築設計,Arsitektur,Architettura,Architektur,Architecture,"Проектирование, архитектура",Architektura,Arquitetura,Arquitectura,Építészet,هندسة 
arts,Arts & Entertainment,Kunst en Cultuur,アート・エンターテインメント,Konst och Kultur,Nghệ thuật,ศิลปะบันเทิงและสื่อ,藝術、娛樂及康樂活動,Seni Desain & Hiburan,Arte e intrattenimento,Kunst & Kultur,Art et divertissement,"Искусство, развлечения",Sztuka i rozrywka,Arte e Entretenimento,Arte y cultura,Művészet és kultúra,فنون
aviation,Aviation,Luchtvaart,航空,Luftfart,Hàng không,การบิน,航空,Penerbangan,Aviazione,Luft- & Raumfahrt,Aviation,Авиация,Lotnictwo,Aviação,Aviación,Légiközlekedés,طيران
care,Personal Care & Home Health,Thuiszorg,介護,Personlig vård,Chăm sóc sức khoẻ,การดูแลส่วนบุคคล,個人照顧服務,Perawat Orang Sakit atau Tua,Cura della persona ,Pflege- & Gesundheitswesen,Soins personnels et à domicile,Персональный уход,Opieka,Cuidados Pessoais,Cuidado personal,Ápolás,رعاية شخصية
childcare,Childcare,Kinderopvang,保育,Barnomsorg,Chăm sóc trẻ em,การดูแลเด็ก,保姆與托兒服務,Pengasuh Anak,Servizi all'infanzia,Kinderbetreuung,Garde d'enfants,Уход за детьми,Opieka nad dziećmi,Babá,Guarderías y educación infantil,Gyermekellátás,رعاية الأطفال
construction,Construction,Bouw,建設,Bygg,Xây dựng,การก่อสร้าง,建築施工,Konstruksi,Edilizia,Bauwesen,Construction,Строительство,Budownictwo,Construção,Construcción,Építőipar,اعمال بناء
customer,Customer Service,Klantenservice,カスタマーサービス,Kundservice,Dịch vụ khách hàng,การบริการลูกค้า,客戶服務,Bantuan Pelanggan,Servizio clienti,Kundendienst,Service clients,Обслуживание клиентов,Obsługa klienta,Suporte ao Cliente,Servicio al cliente,Vevőszolgálat,خدمة العملاء
driver,Driving,Chauffeursdiensten,ドライバー,Chaufför,Lái xe,การขับรถ,司機,Sopir,Trasporto,Fahrdienst,Conduite routière,Водитель,Transport,Motorista,Transporte,Sofőr,سائق
education,Education & Instruction,Onderwijs,教育,Utbildning,Giáo dục,การศึกษาและการเรียนการสอน,教育與指導,Pendidikan,Formazione,Erziehung & Bildung,Enseignement et formation,Образование,Edukacja,Educação,Educación,Oktatás és nevelés,تعليم
engchem,Chemical Engineering,Chemische technologie,化学技術,Kemiteknik,Kỹ thuật hoá học,วิศวกรรมเคมี,化學工程,Teknik Kimia,Ingegneria chimica,Chemieingenieurwesen,Génie chimique,Химическая промышленность,Inżynieria chemiczna ,Engenharia Química,Ingeniería química,Vegyipar,هندسة كيميائية
engcivil,Civil Engineering,Civiele techniek,土木工学,Civilingenjör,Kỹ thuật dân dụng,วิศวกรรมโยธา,土木工程,Teknik Sipil,Ingegneria civile,Bauingenieurwesen,Génie civil,Гражданское строительство,Budownictwo lądowe,Engenharia Civil ,Ingeniería civil,Építőmérnök,هندسة مدنية
engelectric,Electrical Engineering,Electrotechniek,電気工学,Elektroteknik,Kỹ thuật điện ,วิศวกรรมไฟฟ้า,電機工程,Teknik Listrik,Ingegneria elettronica,Elektrotechnik,Génie électrique,Электротехника,Elektrotechnika,Engenharia Elétrica,Ingeniería eléctrica,Elektronikai mérnök,هندسة كهربائية
engid,Industrial Engineering,Industriële automatisering,産業機械工学,Industriteknik,Kỹ thuật công nghiệp,วิศวกรรมอุตสาหการ,工業工程,Teknik Industri,Ingegneria industriale,Wirtschaftsingenieurwesen,Génie industriel,Промышленность,Inżynieria przemysłowa,Engenharia Industrial,Ingeniería industrial,Gazdaságimérnök,هندسة صناعية
engmech,Mechanical Engineering,Mechanische techniek,機械工学,Maskinteknik,Kỹ thuật cơ khí,วิศวกรรมเครื่องกล,機械工程,Teknik Mesin,Ingegneria meccanica,Maschinenbau,Génie mécanique,Машиностроение,Inżynieria mechaniczna,Engenharia Mecânica,Ingeniería mecánica,Gépészmérnök,هندسة ميكانيكية
finance,Banking & Finance,Financiële dienstverlening,金融,Bank och Finans,Tài chính - Ngân hàng,การเงินและการลงทุน,銀行與金融,Keuangan & Perbankan,Settore bancario e finanziario,Bank- & Finanzwesen,Banque et finance,"Банки, финансы",Finanse i bankowość,Financeira,Finanzas,Bank és pénzügy,مالية
food,Food Preparation & Service,Horeca,飲食,Restaurang och Livsmedel,Dịch vụ thực phẩm ,การประกอบอาหารและบริการ,餐飲服務,Makanan,Settore alimentare e ristorazione,Lebensmittelzubereitung & -dienstleistung,Restauration,Пищевая промышленность,Gastronomia,Gastronomia,Alimentos y restaurantes,Gasztronómia,إطعام 
hospitality,Hospitality & Tourism,Hospitality en toerisme,ホスピタリティ・観光,Turism,Du lịch - Khách sạn,การบริการและการท่องเที่ยว,酒店及旅遊,Pariwisata,Turismo,Hotelgewerbe & Tourismus,Hôtellerie et tourisme,"Туризм, гостиницы",Turystyka i hotelarstwo,Hospitalidade e Turismo,Hostelería y turismo,Vendéglátás és túrizmus,فندقة 
hr,Human Resources,Human Resources,人事,Personal,Nhân sự,ทรัพยากรบุคคล,人力資源,Personalia,Risorse umane,Personalwirtschaft,Ressources humaines,Управление персоналом,Zasoby ludzkie,Recursos Humanos,Recursos humanos,Humánerőforrás,موارد بشرية
install,Installation & Maintenance,Installatietechniek,設備管理,Underhåll och Reparation,Lắp đặt - Bảo trì,การติดตั้งและการซ่อมบำรุง,安裝與維修,Instalasi & Teknisi,Installazione e manutenzione ,Technik & Mechanik,Maintenance et réparation,Техобслуживание,Naprawa i konserwacja ,Manutenção e Reparo,Instalación y mantenimiento,Technikus és karbantartó,تركيب و تصليح 
insurance,Insurance,Verzekering,保険,Försäkring,Bảo hiểm,การประกันภัย,保險,Asuransi,Assicurazione,Versicherungswesen,Assurance,Страхование,Ubezpieczenia,Seguros,Seguros,Biztosítás,تأمين
legal,Legal,Juridisch,法律・法務,Juridik,"Luật, pháp lý",กฏหมาย,法律,Hukum,Legale,Rechtswesen,Juridique,Юриспруденция,Prawo,Jurídica,Legal,Jog,قضاء
management,Management,Management,経営,Arbetsledning,Quản lý,การบริหารจัดการ,管理,Manajemen,Management,Management,Management,Высший менеджмент,Zarządzanie,Gestão,Gestión de empresas,Menedzsment,إدارة 
manufacturing,Production & Manufacturing,Productie,製造,Produktion och Tillverkning,Sản xuất,การผลิต,製造與生產,Manufaktur & Produksi,Produzione e Manifattura,Produktion & Fertigung,Production et fabrication,Производство,Produkcja,Produção e Fábricas,"Manufactura, producción y operación",Termelés és előállítás,تصنيع
marketing,Marketing,Marketing,マーケティング,Marknadsföring,Marketing,การตลาด,市場推廣,Pemasaran,Marketing,Marketing,Marketing,Маркетинг и реклама,Marketing,Marketing,Marketing,Marketing,تسويق‏
math,Mathematics,Wiskundig,数学,Matematik,Toán học,คณิตศาสตร์,數學統計,Matematika & Statistik,Matematica e statistica,Mathematik,Mathématiques et statistiques,Аналитика,Matematyka i statystyka,Matemática,Matemáticas,Matematika,رياضيات‏
meddental,Dental,Tandheelkunde,歯科,Tandvård,Nha khoa,ทันตกรรม ,牙齒護理,Dokter Gigi,Medicina dentale,Zahnmedizin,Médecine dentaire,Стоматология,Stomatologia,Odontologia,Odontología,Fogászat,طب الأسنان
meddr,Physicians & Surgeons,Artsen en chirurgen,医療,Läkare och Kirurger,Bác sĩ - Phẫu thuật,แพทยศาสตร์และศัลยศาสตร์,醫生,Dokter Umum & Spesialis,Medicina e chirurgia,Arztberufe,Médecine,"Врачи, хирурги",Medycyna,Medicina,Medicina,Orvoslás,طب 
media,Media & Communications,Media en communicatie,メディア,Media och Kommunikation,Truyền thông - Quan hệ công chúng,สื่อสารมวลชนและการสื่อสาร,媒體,Media & Komunikasi,Media e comunicazione,Medien & Kommunikation,Médias et communication,"Медиа, связь с общественностью",Media i komunikacja społeczna ,Mídia e Comunicações,Comunicaciones,Média és kommunikáció,إعلام
medinfo,Medical Information,Medische administratie,医療事務,Medicinsk information,Thông tin y tế,เวชสารสนเทศ,醫療資訊管理,Informasi Kesehatan,Informazione medica,Verwaltung im Gesundheitswesen,Information médicale,Медицинская регистратура,Informacja medyczna,Administrativa - Hospitais,Información sanitaria,Egészségügyi adminisztráció,إعلام صحي 
mednurse,Nursing,Verpleegkunde,看護,Omvårdnad,Y tá - Điều dưỡng,การพยาบาล,護士,Keperawatan,Infermieristica,Gesundheits- & Krankenpflege,Soins infirmiers,Медперсонал,Pielęgniarstwo,Enfermagem ,Enfermería,Betegellátás,تمريض
medtech,Medical Technician,Medische techniek,医療技術,Medicinteknik,Kỹ thuật y tế,เทคนิคการแพทย์,醫療技術支援,Teknisi Kesehatan,Tecnico sanitario,Medizintechnik,Assistance médico-technique,Лабораторная диагностика ,Technik medyczny,Medicina - Suporte,Tecnología en la salud,Egészségügyi technológia,تقني طبي  
military,Military,Defensie,軍隊,Militär,Quân đội,การทหาร,軍事,Militer,Difesa,Militär,Militaire,Военная служба,Służba wojskowa,Militar,Militar,Honvédelem,جيش
mining,Mining,"Gas, olie en mijnbouw",採掘,"Gas, olja och gruvdrift",Khai thác mỏ,การทำเหมืองแร่และการสกัด,採礦,Pertambangan,Settore minerario,Bergbau,Extraction minière,Добыча сырья,Górnictwo i wydobycie,Mineração e Extrativismo,Minería y extracción,Bányászat,مناجم 
personal,Beauty & Wellness,Beauty en wellness,美容・健康,Skönhet och Välbefinnande,Làm đẹp - Chăm sóc sức khoẻ,สุขภาพและความงาม,美容護理,Kecantikan & Kesehatan,Bellezza e benessere,Beauty & Wellness,Beauté et bien-être,"Красота, здоровье",Zdrowie i uroda,Beleza e Bem Estar,Belleza y bienestar,Szépségápolás és wellness,تجميل
pharmacy,Pharmacy,Apotheek,薬剤,Apotek,Dược phẩm,เภสัชศาสตร์,藥劑,Farmasi,Farmaceutica,Pharmazie,Pharmacie,Фармацевтика,Farmacja,Farmacêutica,Farmacia,Gyógyszeripar,صيدلة 
project,Project Management,Project management,プロジェクトマネージメント,Projektledare,Quản lý dự án,การบริหารจัดการโครงการ,項目管理,Manajemen Proyek,Project Management,Project Management,Gestion de projet,Управление проектами,Zarządzanie projektem,Gestão de Projetos,Gestión de proyectos,Projekt menedzsment,مشاريع 
protective,Security & Public Safety,Beveiliging en openbare veiligheid,警備,Säkerhet,An ninh - Bảo vệ,การรักษาความปลอดภัย,保安與公眾安全,Keamanan,Sicurezza,Private und öffentliche Sicherheit,Sécurité et défense publique,"Охрана, безопасность",Ochrona,Segurança Pública,Seguridad y orden público,Szeméy- és vagyonvédelem,أمن
realestate,Real Estate,Vastgoed,不動産,Fastighet,Bất động sản,อสังหาริมทรัพย์,地產與物業管理,Real Estat,Immobiliare,Immobilienbranche,Immobilier,Недвижимость,Nieruchomości,Imobiliária,Servicios inmobiliarios,Ingatlanközvetítés,عقار
retail,Retail,Detailhandel,小売り,Detaljhandeln,Bán lẻ,การขายปลีก,零售,Toko & Ritel,Vendita al dettaglio,Einzelhandel,Vente au détail,Розничная торговля,Sprzedaż detaliczna,Varejo,Venta al por menor,Kiskereskedelem,تجزئة 
sales,Sales,Sales,営業,Försäljning,Sales,การขาย,銷售,Penjualan,Vendita,Vertrieb,Vente et prospection commerciale,Продажи,Sprzedaż,Vendas,Ventas,Sales,مبيعات
sanitation,Cleaning & Sanitation,Schoonmaak,クリーニング・清掃,Rengöring & Sanering,Vệ sinh - Dọn dẹp,การดูแลความสะอาดและสุขอนามัย,衛生與清潔,Kebersihan,Pulizia e igiene,"Reinigungsdienste, Gebäude- und Grundstückspflege",Propreté et hygiène,Клининговые услуги,Sprzątanie,Limpeza,Limpieza,"Takarítás, ingatlankezelés",تنظيف
science,Scientific Research & Development,Wetenschap,科学研究,Vetenskaplig forskning och utveckling,Phát triển - Nghiên cứu khoa học,การวิจัยและพัฒนาด้านวิทยาศาสตร์,科學研究,Sains & Penelitian,Ricerca e sviluppo scientifico,Wissenschaftliche Forschung & Entwicklung,Recherche et développement,Наука,Badania i rozwój,Pesquisas e Desenvolvimento Científico,Investigación y desarrollo,Tudományos kutatás és fejlesztés,بحث علمى
service,Community & Social Service,Sociale dienstverlening,福祉,Socialtjänst,Dịch vụ xã hội - cộng đồng,การบริการชุมชนและสังคม,社會服務,Layanan Sosial & Komunitas,Servizi sociali,Sozialdienst und Sozialarbeit,Services communautaires et sociaux,Социальная работа,Opieka społeczna,Serviços Sociais,Servicios sociales,Szociális ellátás és szociális munka,خدمات اجتماعية
socialscience,Social Science,Sociale wetenschappen,社会学,Samhällsvetenskap,Khoa học xã hội,สังคมศาสตร์,社會科學,Ilmu Kemanusiaan,Scienza sociale,Sozialwissenschaften,Sciences humaines et sociales,Социология,Socjologia,Ciências Sociais,Ciencias sociales,Társadalomtudomány,علوم اجتماعية
sports,Sports,Sport,スポーツ,Sport,Thể thao,การกีฬา,體育與健身,Olah Raga,Sport,Sport,Sport,Спорт,Sport,Esportes,Deporte,Sport,رياضة 
techhelp,IT Operations & Helpdesk,Technische ondersteuning,ITサポート・ヘルプデスク,Teknisk support,Hỗ trợ IT,การดำเนินการและให้ความช่วยเหลือทางไอที,資訊設計與分析,Dukungan Perangkat Teknis,Supporto IT,IT Support,Support informatique,Техподдержка,Wsparcie techniczne,TI - Suporte,Soporte informático,IT támogatás,دعم فني
techinfo,Information Design & Documentation,Techniche analyse & documentatie,情報システム,Teknisk analys och dokumentation,Thiết kế thông tin và tư liệu,การออกแบบสารสนเทศและการอ้างอิง,資訊科技支援,Teknik Informatika,Information design e ricerca,Informationsdesign & Dokumentation,Design de l'information,Информ-поддержка,Analiza techniczna i dokumentacja,TI - Operações,Tecnologías de la informacion / sistemas,Informatika és dokumentáció,بحث عملياتي
techsoftware,Software Development,Softwareontwikkeling,ソフトウェア開発,Mjukvaruutveckling,Phát triển phần mềm,การพัฒนาระบบซอฟต์แวร์,軟件開發,Perangkat Lunak,Sviluppo software,Software-Entwicklung,Développement de logiciels,"Разработка, программирование",Rozwój oprogramowania,Desenlvolvimento de Software,Tecnología y software,Szoftverfejlesztés,برمجة 
therapy,Therapy,Therapie,セラピー,Terapi,Vật lý trị liệu,การบำบัดรักษา,治療與諮詢,Terapi Konsultasi & Penyembuhan,Settore terapeutico,Therapie,Thérapie et accompagnement,"Психология, терапия",Terapeutyka,Terapia,Psicología y fisioterapia,Terápia,علاج
transport,Logistic Support,Logistieke ondersteuning,運送,Logistik,Giao thông vận tải ,โลจิสติกส์,物流支援,Logistik & Transportasi,Logistica,Logistik,Transport et logistique,"Транспорт, логистика",Logistyka,Logística ,Logística,Logisztika,نقل
uncategorized,Uncategorized,Onbekend,未分類,Okategoriserad,Chưa phân loại,ไม่มีหมวดหมู่,未分類,Tidak Ada Kategori,Non categorizzato,Unklassifiziert,Non classifié,Другое,Inne,Sem categoria,Sin categorizar,Nem kategorizált,غير مصنف 
veterinary,Veterinary,Diergeneeskunde,獣医,Veterinär,Thú y,สัตวแพทยศาสตร์,動物護理,Perawatan Hewan,Veterinaria,Veterinärmedizin,Médecine vétérinaire,Ветеринария,Weterynaria,Veterinária,Veterinaria,Állatorvoslás,بيطرة
warehouse,Loading & Stocking,Op- en overslag,倉庫管理,Lager,Kho vận,การจัดการคลังสินค้า,倉務,Pabrik & Penyimpanan,Stoccaggio e magazzinaggio,Lagerhaltung,Magasinage et entreposage,Грузовые работы,Dystrybucja i zaopatrzenie ,Estoque - Carga e Descarga,Almacén,Raktározás,تخزين